CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
20464;MANTA ACONCHEGO KING 220X240;1;11;39,9;39,9;25;0;0;0;0;0;0;0;0;0;25;17;1,65;7,6;26,25;10,4738;29,4263;4,4263;11,09;25;51,28
20465;MANTA ACONCHEGO SOLTEIRO 150X220;1;11;29,99;29,99;18,09;0;0;0;0;0;0;0;0;0;18,09;17;1,65;7,6;26,25;7,8724;22,1176;4,0276;13,43;25;37,11
20466;MANTA CORTTEX CASAL 200 LISA 180X220 AZ;1;6;39,9;39,9;22;0;0;0;0;0;0;0;0;0;22;17;1,65;7,6;26,25;10,4738;29,4263;7,4263;18,61;25;45,13
20467;MANTA CORTTEX CASAL 200 LISA 180X220 BG;1;9;39,9;39,9;22;0;0;0;0;0;0;0;0;0;22;17;1,65;7,6;26,25;10,4738;29,4263;7,4263;18,61;25;45,13
20468;MANTA CORTTEX CASAL 200 LISA 180X220 GRA;1;9;39,9;39,9;22;0;0;0;0;0;0;0;0;0;22;17;1,65;7,6;26,25;10,4738;29,4263;7,4263;18,61;25;45,13
20469;MANTA CORTTEX CASAL 200 LISA 180X220 VD;1;6;39,9;39,9;22;0;0;0;0;0;0;0;0;0;22;17;1,65;7,6;26,25;10,4738;29,4263;7,4263;18,61;25;45,13
20470;MANTA CORTTEX CASAL 200 LISA 180X220 VRM;1;4;39,9;39,9;22;0;0;0;0;0;0;0;0;0;22;17;1,65;7,6;26,25;10,4738;29,4263;7,4263;18,61;25;45,13
20471;MANTA CORTTEX CASAL CELTA ESTAMP 180X200;1;11;29,9;29,9;16;0;0;0;0;0;0;0;0;0;16;17;1,65;7,6;26,25;7,8488;22,0513;6,0513;20,24;25;32,82
20472;MANTA CORTTEX CASAL CELTA ESTAMP 180X200;1;15;29,9;29,9;16;0;0;0;0;0;0;0;0;0;14,4208;17;1,65;7,6;26,25;7,8488;22,0513;7,6305;25,52;25;29,58
20473;MANTA CORTTEX CASAL CELTA LISA 180X200;1;15;29,9;29,9;17;0;0;0;0;0;0;0;0;0;14,3479;17;1,65;7,6;26,25;7,8488;22,0513;7,7034;25,76;25;29,43
20474;MANTA CORTTEX QUEEN 200 LISA 220X240 RS;1;12;49,9;49,9;28;0;0;0;0;0;0;0;0;0;28;17;1,65;7,6;26,25;13,0988;36,8013;8,8013;17,64;25;57,44
20475;MANTA CORTTEX QUEEN 200 LISA 220X240 SOR;1;11;49,9;49,9;28;0;0;0;0;0;0;0;0;0;28;17;1,65;7,6;26,25;13,0988;36,8013;8,8013;17,64;25;57,44
20476;MANTA CORTTEX QUEEN 200 LISA 220X240 TAU;1;7;49,9;49,9;28;0;0;0;0;0;0;0;0;0;28;17;1,65;7,6;26,25;13,0988;36,8013;8,8013;17,64;25;57,44
20477;MANTA CORTTEX SOLT 200 LISA 150X200 SORT;1;9;29,9;29,9;15,68;0;0;0;0;0;0;0;0;0;15,68;17;1,65;7,6;26,25;7,8488;22,0513;6,3713;21,31;25;32,16
20478;MANTA FLANNEL HABITAT CASAL 180X220;1;6;39,9;39,9;24,9;0;0;0;0;0;0;0;0;0;24,9;17;1,65;7,6;26,25;10,4738;29,4263;4,5263;11,34;25;51,08
