"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"23715";"SAND IPANEMA CLASSIC PT/PT 41/42";"800";"5,000";"129,95";"129,95"
"23716";"SAND IPANEMA CLASSIC PT/PT 43/44";"800";"3,000";"77,97";"77,97"
"35608";"SAND IPANEMA CLASSICO BC 45 46";"800";"1,000";"24,99";"24,99"
"34279";"SAND IPANEMA DAY RSA VDE 33 34";"800";"2,000";"55,98";"55,98"
"34280";"SAND IPANEMA DAY RSA VDE 35";"800";"1,000";"27,99";"27,99"
"34281";"SAND IPANEMA DAY RSA VDE 36";"800";"1,000";"27,99";"27,99"
"34242";"SAND IPANEMA DISNEY SWEET LIL AZL 22";"800";"1,000";"83,99";"83,99"
"34244";"SAND IPANEMA DISNEY SWEET LIL AZL 25";"800";"1,000";"83,99";"83,99"
"34131";"SAND IPANEMA FANTASIA INF BG AZ VM 27 28";"800";"1,000";"29,99";"29,99"
"34134";"SAND IPANEMA FANTASIA INF RSA AZL 33 34";"800";"1,000";"29,99";"29,99"
"34876";"SAND IPANEMA FANTASIA INF VD VD LR 27 28";"800";"2,000";"59,98";"59,98"
"34877";"SAND IPANEMA FANTASIA INF VD VD LR 29 30";"800";"4,000";"119,96";"119,96"
