LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;36138;CONS FILME P ALIMENTO 35X400MM;A;137,81;134,52;0020488
15;A CLASSIFICAR;36073;CONS FILME PALETIZACAO R 126317;A;22,29;21,14;0095954
15;A CLASSIFICAR;36076;CONS FITA ADESIVA 12X30MM CRISTAL;A;0;0;1001102
15;A CLASSIFICAR;36082;CONS FITA ADESIVA 12X65MM;A;0;0;0046715
15;A CLASSIFICAR;36085;CONS FITA BHGOLD GRATIS 36MMX100M;A;0;0;1014988
15;A CLASSIFICAR;36088;CONS FITA CALC SHARP 3 PINOS 13X4MM;A;0;0;0099654
15;A CLASSIFICAR;36089;CONS FITA IR 40 ROLETE;A;0;0;9965843
15;A CLASSIFICAR;36091;CONS FITA IR 40T P CALC ROLETE;A;0;0;0043603
15;A CLASSIFICAR;37517;CONS FITA LARGA CRISTAL 45MMX45M UN;A;4,47;4,6;9928787
15;A CLASSIFICAR;36094;CONS FITA PROMOCIONAL 3C;A;0;0;7802683
15;A CLASSIFICAR;36095;CONS FITILHO PLASTICO;A;3,95;3,47;0029887
15;A CLASSIFICAR;36097;CONS FLANELA 28X48CM;A;1,43;1,46;0101821
15;A CLASSIFICAR;36098;CONS FOLHA SULFITE A4 210X297 C 500;A;0;0;0019970
15;A CLASSIFICAR;30082;CONS FOLHETO BARBIE SAPATILHAS MAG;A;0;0;3306024
15;A CLASSIFICAR;36099;CONS FOLHETOS DIA DO REAL;A;0;0;1021426
15;A CLASSIFICAR;36100;CONS FORMA 29 TR RUSTICA 17X7CM;A;0;0;1000067
15;A CLASSIFICAR;37604;CONS FRANGO ASSADO DOMO;A;,88;,82;7803377
15;A CLASSIFICAR;36783;CONS FREEZER FRICON;A;0;0;0076845
15;A CLASSIFICAR;35439;CONS GANCHO INOX S1 PQ EXPOSICAO;A;0;0;0044768
15;A CLASSIFICAR;35605;CONS GANCHO S 5 INOX;A;0;0;7899274
15;A CLASSIFICAR;35612;CONS GARRAFA SUCO LARANJA 1 LITRO;A;1,42;1,27;7900001
15;A CLASSIFICAR;35619;CONS GARRAFA SUCO LARANJA 500 ML;A;1,25;1,12;7900000
15;A CLASSIFICAR;36619;CONS GAS COMBUSTIVEL EMPILHADEIRA;A;0;0;6100265
15;A CLASSIFICAR;36661;CONS GAS P8 P13 P45;A;0;0;6100460
15;A CLASSIFICAR;35634;CONS GAS REFRIG R;A;0;0;7800627
15;A CLASSIFICAR;35627;CONS GAS REFRIG R 134 A 13 6K;A;0;0;1000063
15;A CLASSIFICAR;36809;CONS GAS REFRIG R 134A;A;0;0;7803431
15;A CLASSIFICAR;35637;CONS GAS REFRIG R 22 13 6KG;A;49,53;43,52;0042529
15;A CLASSIFICAR;35639;CONS GAS REFRIG R 404 A GARR 10 9KG;A;58,77;0;0042207
15;A CLASSIFICAR;35630;CONS GAS REFRIG R410A 11 34KG;A;0;0;
15;A CLASSIFICAR;35640;CONS GRAMPEADOR 24 26;A;0;0;0035780
15;A CLASSIFICAR;35642;CONS GRAMPO 26 6 106;A;0;0;0019969
15;A CLASSIFICAR;35651;CONS GRAMPO P ROCAMA 106 8;A;0;0;0048085
15;A CLASSIFICAR;36623;CONS HP 1000 DESENG ALIMENTICIO 5L;A;0;0;7899189
15;A CLASSIFICAR;35659;CONS HP 1100 DET ALCALINO CLORADO 5;A;0;0;7899190
15;A CLASSIFICAR;36649;CONS HP 1200 DET NEUTRO 5L;A;0;0;7899213
15;A CLASSIFICAR;36648;CONS HP 1940 LIMP MULT CONC 5L;A;0;0;7899486
15;A CLASSIFICAR;37581;CONS HP 2100 DET INDUSTRIAL 5L;A;0;0;7899473
15;A CLASSIFICAR;35686;CONS HP 700 HIPERBAC 5LTS;A;91,12;68,64;7899471
15;A CLASSIFICAR;37285;CONS HP 77 LIMPA PISO BAIXA ESP 5L;A;0;0;7899830
15;A CLASSIFICAR;35671;CONS JALECO BC SOB MEDIDA;A;0;0;1016553
15;A CLASSIFICAR;35689;CONS JALECO BC TAM EEG;A;0;0;1016554
15;A CLASSIFICAR;35690;CONS JALECO BC TAM EG;A;0;0;1016555
15;A CLASSIFICAR;35691;CONS JALECO BC TAM G;A;0;0;1016558
15;A CLASSIFICAR;35697;CONS JALECO BC TAM GG;A;0;0;1016559
15;A CLASSIFICAR;35700;CONS JALECO BC TAM M;A;0;0;1016560
15;A CLASSIFICAR;35703;CONS JAPONA TERMICA TAM G;A;0;0;1016468
15;A CLASSIFICAR;35704;CONS JAPONA TERMICA TAM GG;A;0;0;1016464
15;A CLASSIFICAR;35705;CONS JAPONA TERMICA TAM M;A;0;0;1016465
15;A CLASSIFICAR;35708;CONS JAPONA TERMICA TAM XG;A;0;0;1016467
15;A CLASSIFICAR;35725;CONS KALYCLEAN ALLKALY CL 5L;A;0;0;0172455
15;A CLASSIFICAR;35728;CONS KIT BALDE C ESPREMEDOR PLACA;A;0;0;7899148
15;A CLASSIFICAR;35735;CONS KIT COLETA SELETIVA 50L C SUP;A;0;0;7899259
15;A CLASSIFICAR;35737;CONS LACRE CAIXA VASILHAME;A;0;0;0052248
15;A CLASSIFICAR;35738;CONS LAMP ELGIN LED 65W 6500K;A;0;0;1003428
15;A CLASSIFICAR;37388;CONS LAMP TUBO LED 18W 6500K;A;0;0;
15;A CLASSIFICAR;35739;CONS LAMP TUBO LED T8 4000K;A;0;0;7801549
15;A CLASSIFICAR;35742;CONS LAPIS PRETO N2 HB;A;0;0;0047932
15;A CLASSIFICAR;35744;CONS LIXEIRA 15 LTS;A;0;0;7802652
15;A CLASSIFICAR;35745;CONS LIXEIRA C PEDAL 100L BCA;A;0;0;0010771
15;A CLASSIFICAR;35746;CONS LIXEIRA C PEDAL 15L;A;0;0;3121954
15;A CLASSIFICAR;35747;CONS LUVA DE LATEX G ANTIDER PALM;A;0;0;1016497
15;A CLASSIFICAR;35750;CONS LUVA DE LATEX M ANTIDER PALM;A;0;0;1016499
15;A CLASSIFICAR;35752;CONS LUVA DE VAQUETA TAM G;A;0;0;1016502
