CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
11970;COM PROD AGRICOLAS PITANGUEIRA LTDA;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
9531;COM.AGRICOLA FORTISUL LTDA.;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
6793;COM.ESCOBAR DE FRUTAS LEG.E TRANSP.LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
11036;COM.VAR.ATAC.PEIXES ORN.AQUAR.IMP.EXPORT;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
17024;COMERCIAL A SHIMIZU IMP E EXP LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
14756;COMERCIAL AGRICOLA DE GRANDO LTDA.;LAURINDO BISCUBI RAMOS;21;7;Faturamento;BOLETO;30 DIAS
7829;COMERCIAL DE ALIMENTOS BOTUCARAI LTDA;SANDRO MARTINS VIANNA;30;10;Faturamento;;
7367;COMERCIAL DE ALIMENTOS CAXIAS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
8915;COMERCIAL DE FUMOS VITORIA LTDA.;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
10598;COMERCIAL DESTRO LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
7843;COMERCIAL IMP.E EXP. LA RIOJA LTDA.;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
13937;COMERCIAL PELOTAS IMP E EXP;WETER SONNENFELDET;30;20;Faturamento;BOLETO;30 DIAS
3026;COMERCIO DE CARVAO WESCHENFELDER LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
3804;COMERCIO DE COMBUSTIVEIS FENIC LTDA;NICOLAS AUGUSTO P. BORGES;30;5;Faturamento;;
16340;COMERCIO DE FRUTAS MARIN LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
15739;COMERCIO DE FRUTAS METZ - HARMONIA;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
12079;COMERCIO DE MEDICAMENTOS BRAIR LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
11488;COMERCIO DE REPOLHOS ROCHA LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
6518;COMERCIO IMP EXP DE FRUTAS LTDA;LAURINDO BISCUBI RAMOS;45;7;Faturamento;BOLETO;30 DIAS
13861;COML COSMETICOS AZAMBUJA LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
13861;COML COSMETICOS AZAMBUJA LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
14296;COML WELTER MELATI SORVETES E GENEROS ALIMENTICIOS LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
14852;COMPANHIA MINUANO DE ALIMENTOS;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
3993;COMPANHIA MULLER DE BEBIDAS;NICOLAS AUGUSTO P. BORGES;45;10;Faturamento;BOLETO;30 DIAS
4335;COMPANHIA NACIONAL DE ALCOOL;JOAO BATISTA;27;10;Faturamento;BOLETO;30 DIAS
9409;COMPANHIA PARANAENSE DO MATTE LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
6206;CONDOR S.A.;JOAO BATISTA;42;10;Faturamento;BOLETO;30 DIAS
1001;CONSERVAS ODERICH SA;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
1001;CONSERVAS ODERICH SA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
6979;CONSERVAS ODERICH SA;NIDAL TUBASI;15;15;Faturamento;BOLETO;30 DIAS
