DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;SANDRO MARTINS VIANNA;16;11033;DOCE STA CLARA KG UVA;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11043;DORSO FGO AGRODANIELI CONG;Ativo;14;14;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11044;DORSO FGO BOM FGO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;35131;EMPAN CAMARAO JAPESCA 250G;Ativo;24;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;35130;EMPAN DE TRAIRA JAPESCA 250G;Ativo;24;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11060;ESPINHACO ALIBEM SUINO SALG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11061;ESTOMAGO BOV CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11062;ESTOMAGO BOV CONG KG BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11063;ESTOMAGO BOV CONG KG TIRAS BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;11064;FARELO OSSO PO DE SERRA;Ativo;1;1;0;0
PERECIVEIS;MODELO;16;11067;FGO ASSADO BARRA;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11068;FGO CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11070;FGO PASSARINHO LAR 700G;Ativo;26;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11072;FGO PASSARINHO SEARA 800G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11240;FGO SEARA CAIPIRA CONG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11079;FIGADO BOV CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11078;FIGADO BOV CONG KG BIFE;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11080;FIGADO BOV CONG KG CAMPEIRO BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11081;FIGADO FGO PERDIGAO CONG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;11086;FILE ABROTEA JAPESCA 400G;Ativo;1;1;0;40
PERECIVEIS;SANDRO MARTINS VIANNA;16;11087;FILE CASCUDINHO JAPESCA 400G;Ativo;1;1;0;0
