CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
4685;CHIN HAVAIANA SLIM VD VIRTUAL 39/4;7909843617372;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4686;CHIN HAVAIANA TOP INFANTIL AZUL NAVAL 25/6;7890557722172;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4687;CHIN HAVAIANA TOP INFANTIL AZUL NAVAL 27/8;7890557722189;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4688;CHIN HAVAIANA TOP INFANTIL AZUL NAVAL 29/0;7890557722196;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4689;CHIN HAVAIANA TOP INFANTIL AZUL NAVAL 31/2;7890557722202;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4690;CHIN HAVAIANA TOP INFANTIL PRETO 25/6;37891109749235;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4690;CHIN HAVAIANA TOP INFANTIL PRETO 25/6;7891109749234;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4691;CHIN HAVAIANA TOP INFANTIL PRETO 27/8;37891109635194;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4691;CHIN HAVAIANA TOP INFANTIL PRETO 27/8;7891109635193;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4692;CHIN HAVAIANA TOP INFANTIL PRETO 29/3;37891109635200;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4692;CHIN HAVAIANA TOP INFANTIL PRETO 29/3;7891109635209;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4693;CHIN HAVAIANA TOP INFANTIL PRETO 31/2;37891109635217;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4693;CHIN HAVAIANA TOP INFANTIL PRETO 31/2;7891109635216;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4695;SAND HAVAIANAS TOP TURQUESA 37 38;7891266523838;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4696;SAND HAVAIANAS TOP TURQUESA 39 40;7891266523845;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4697;CHIN HAVAIANA TOP ROSA FLUX 37 8;7893249648071;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4698;CHIN IPANEMA MASC AN 45/46;7890244999139;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4699;CHIN CARTAGO MAIORCA ESSENCIAL 40 RF1132621757;7909510574854;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4700;CHIN IPANEMA MASC UR 37/8 2537325581;7909510832862;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4701;CHIN RIDER R1 SPEED 39 1165020766;7909510648791;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4702;CHIN RIDER R1 SPEED 40 1165020698;7909510648661;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4703;CHIN RIDER R1 SPEED 40 1165020766;7909510648807;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4704;CHIN RIDER R1 SPEED 41 1165020698;7909510648678;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4705;CHIN RIDER R1 SPEED 41 1165020766;7909510648814;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4706;CHIN RIDER R1 SPEED 42 1165020766;7909510648821;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4707;CHIN RIDER R1 SPEED 43/4 1165020766;7909510648838;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4708;CHIN HAVAIANA SLIM FLORAL AZUL 35/6;7893249130972;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4709;CHIN HAVAIANA SLIM FLORAL AZUL 39/0;7893249131078;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4710;CHIN HAVAIANA SLIM FLORAL BEGE PALHA 35/6;7909690436478;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4711;CHIN HAVAIANA SLIM FLORAL BEGE PALHA 37/8;7909690436485;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4712;CHIN HAVAIANA SLIM FLORAL BEGE PALHA 39/0;7909690436492;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4713;CHIN HAVAIANA SLIM FLORAL PT/PT/LIL 35/6;7909690436522;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4714;CHIN HAVAIANA SLIM FLORAL PT/PT/LIL 37/8;7909690436539;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4715;CHIN HAVAIANA SLIM FLORAL PT/PT/LIL 39/0;7909690436546;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4716;CHIN HAVAIANA SLIM VDE JARD 35/6;7909690466499;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4717;CHIN HAVAIANA SLIM VDE JARD 37/8;7909690466505;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4718;CHIN HAVAIANA SLIM VDE JARD 39/0;7909690466512;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4719;CHIN IPANEMA TEMAS INFANTIL ROSA//ROSA 31/2;7909510843158;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
