CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4376;BEB LACT STA CLARA GF 1L FRUTAS VERMELHA;1;18;6;10;90;0,51;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;63
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;2;6;10;90;0,86;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;1
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;3;7;8;90;1,56;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;0
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;4;6;10;90;0,36;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;37
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;5;6;10;90;0,21;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;34
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;6;6;10;90;0,69;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;13
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;7;6;10;90;0,17;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;21
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;8;6;10;90;0,43;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;6
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;11;6;10;90;0,19;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;30
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;12;6;10;90;0,7;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;12
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;13;6;10;90;0,39;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;32
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;14;6;10;90;0,24;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;38
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;17;6;10;90;1,19;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;62
4377;BEB LACT SANTA CLARA TRIP ZR GF 1L FRUTAS CEREAL;1;18;6;10;90;0,72;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;19
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;2;6;10;90;0,32;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;21
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;3;6;10;90;1,22;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;5
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;4;6;10;90;0,37;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;12
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;5;6;10;90;0,04;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;9
4378;BEB LACT SANTA CLARA TRIP ZR GF 1L MEL CEREAL;1;6;6;10;90;0,2;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;21
