CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
7309;7896209401174;PAO NUTRELLA 450G 14 GRAOS VITTA;12;1;2 - SANDRO;22,89;0;22,89
7311;7896209401181;PAO NUTRELLA 450G GRAOS CASTANHAS;12;1;2 - SANDRO;22,89;0;22,89
7312;7896002300360;PAO NUTRELLA 550G SUPREME;12;1;2 - SANDRO;24,99;0;24,99
7313;7896002300377;PAO NUTRELLA 550G SUPREME FTAS GRAOS CAST;12;1;2 - SANDRO;24,99;0;24,99
7317;7896002304153;PAO PULLMAN 420G HAMBURGUER C GERGE;12;1;2 - SANDRO;19,29;0;19,29
7319;7896002366267;PAO PULLMAN 450G 12 GRAOS;12;1;2 - SANDRO;18,99;18,99;18,99
7321;7896002303286;PAO PULLMAN 450G INT GRAOS CAST;12;1;2 - SANDRO;24,99;24,99;24,99
7322;7896002301633;PAO PULLMAN 450G S CASCA TRAD;12;1;2 - SANDRO;18,89;18,89;18,89
7323;7896002300148;PAO PULLMAN 480G INTEGRAL;12;1;2 - SANDRO;13,99;13,99;13,99
7324;7896002310345;PAO PULLMAN 500G NA CHAPA ARTESANO;12;1;2 - SANDRO;17,99;17,99;17,99
7325;7896002304184;PAO PULLMAN 520G HAMBURGUER;12;1;2 - SANDRO;19,29;0;19,29
7327;7896610909993;PAO QUEIJO EXCELSIOR 400G;12;1;2 - SANDRO;10,99;0;10,99
7328;7898330160128;PAO TCHE PAO 220G HAMBURGUER;12;1;2 - SANDRO;7,99;0;7,99
7329;7898330160135;PAO TCHE PAO 300G HOT DOG PAO TCHE PAO 30;12;1;2 - SANDRO;8,39;0;8,39
7331;7898330160173;PAO CASEIRO 500G PAO TCHE PAO 50;12;1;2 - SANDRO;9,49;0;9,49
7332;7898330160463;PAO TCHE PAO 500G ATELIE;12;1;2 - SANDRO;12,29;0;12,29
7333;7898330160012;PAO TCHE PAO 500G LEITE;12;1;2 - SANDRO;9,39;0;9,39
7335;7898330160418;PAO TCHE PAO 400G TORTA FRIA S CASC;12;1;2 - SANDRO;19,99;0;19,99
7336;7898330160074;PAO TCHE PAO 400G INT LEVE CENTEIO;12;1;2 - SANDRO;10,99;10,99;10,99
7337;7898330160241;PAO TCHE PAO 400G INT LEVE INTEGRAL;12;1;2 - SANDRO;10,99;10,99;10,99
7338;7898330160210;PAO TCHE PAO 400G INT LEVE MULTICEREAIS;12;1;2 - SANDRO;10,99;10,99;10,99
