NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABA_MODELOEXPVISAO;;0;TSD_CONSINCO;2026-08-09-22.49.46.000000
ABA_MODELOEXPVISAOPERIODO;;0;TSD_CONSINCO;2026-08-09-22.49.46.000000
ABA_MODULOUTILIZACAO;;5;TSD_CONSINCO;2026-08-16-22.49.38.000000
ABA_NATUREZASUBCONTA;;26;TSD_CONSINCO;2026-08-09-22.51.14.000000
ABA_PARAMETRO;;10;TSD_CONSINCO;2026-08-09-22.51.11.000000
ABA_PARAMETROENTIDADE;;1444;TSD_CONSINCO;2026-08-09-22.51.26.000000
ABA_PARAMETROTRIBUTECF;;0;TSD_CONSINCO;2026-08-09-22.49.52.000000
ABA_PARAMETROVALOR;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_PLANOCONTA;;1433;TSD_CONSINCO;2026-08-09-22.49.19.000000
ABA_PLANOCONTAAGLUTINACAO;;1845;TSD_CONSINCO;2026-08-23-22.49.28.000000
ABA_PLANOCONTACONF;;1;TSD_CONSINCO;2026-08-23-22.49.36.000000
ABA_PLANOCONTACONFEMPRESA;;3;TSD_CONSINCO;2026-08-16-22.49.37.000000
ABA_PLANOCONTACONFGRAUS;;6;TSD_CONSINCO;2026-08-16-22.49.38.000000
ABA_PLANOCONTACONTAREF;;1256;TSD_CONSINCO;2026-08-23-22.49.35.000000
ABA_PLANOCONTAEMPRESA;Relação entre uma conta do plano de contas e uma empresa;37068;TSD_CONSINCO;2026-08-16-22.49.38.000000
ABA_PLANOCONTAPARAMETRO;;1623;TSD_CONSINCO;2026-08-09-22.51.23.000000
ABA_PLANOCONTAREF;;1123;TSD_CONSINCO;2026-08-09-22.51.29.000000
ABA_PLANOCONTAREF_MIGRADOR;;0;TSD_CONSINCO;2026-08-09-22.51.02.000000
ABA_QUALIFICACAODNRC;;28;TSD_CONSINCO;2026-08-09-22.49.40.000000
ABA_RATEIODINAMICO;Configuraçoes do Rateio Dinâmico;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_RATEIODINAMICOBASECALCULO;Plano de contas configurado ao rateio;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_RATEIODINAMICOCONTACONF;Configuração do rateio dinâmico por conta contábil.;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_RATEIODINAMICOCONTADETALHE;Detalhe dos parametros vinculados a conta referencial;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_RATEIODINAMICOCONTADETLOG;Configuraçoes do Rateio Dinâmico;0;TSD_CONSINCO;2026-08-09-22.51.07.000000
ABA_RATEIODINAMICOEXTDETALHE;Critérios do Rateio dinâmico de origem externa;0;TSD_CONSINCO;2026-08-09-22.51.06.000000
ABA_RATEIODINAMICOEXTDETLOG;Configuraçoes do Rateio Dinâmico;0;TSD_CONSINCO;2026-08-09-22.51.08.000000
ABA_RATEIOMEMORIACALCULO;;0;TSD_CONSINCO;2026-08-09-22.51.31.000000
ABA_RATEIOMEMORIACALCULODET;;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_REGISTROECD;;52;TSD_CONSINCO;2026-08-09-22.49.42.000000
ABA_REGISTROECF;;151;TSD_CONSINCO;2026-08-09-22.51.29.000000
