CATEGORIA;NIVELHIERARQUIA
FERMENTOS;5
FERVEDOR;5
FIBRA TRIGO-FARELO;5
FICHARIOS;5
FIGADO FGO 1KG;5
FIGO;5
FIGO CALDA;5
FILE DE PEIXE CONGELADO;5
FILE FGO;5
FILE MIGNON SUINO;5
FILE SUINO;5
FILTRADO;5
FILTROS DE CAFE;5
FIO DENTAL;5
FITA CORRETIVA;5
FITAS;5
FITAS ADESIVAS;5
FIXADOR DE CABELO;5
FIXADOR E GEL;5
FLAN;5
FLANELAS;5
FLIPTOP - ATACAMA;5
FLORES ARTIFICIAIS-ARRANJ;5
FLORES-ARVORES-PLANTAS;5
FLUTUADOR;5
FOLHAS;5
FOLHAS EVA;5
FORMA DESC AIR FRYER;5
FORMA GELO;5
FORMA OVO PASCOA;5
FORMAS ALUMINIO;5
FORMAS SILICONE;5
FORTALECEDOR DE UNHA;5
FOSFORO COMUM;5
FOSFOROS;5
FRALDA DESCARTAVEL;5
FRAMBOESA;5
FRANTA PARA INCONT URINAR;5
FRIGIDEIRAS;5
FRONHAS;5
FRUTAS;5
FRUTAS ARTIFICIAIS;5
